2018.02.25
2017-02-25 00:00:00
2018-02-25T10:00:00.000Z     2018-02-25T10:01:00.000Z
quert done
Reshape and sort done...
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Write exe: 0 1738 4203126 13873 1958 37 79 0 2018-02-25T10:00:02.277Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Write exe: 0 1738 4204129 13873 1958 37 79 0 2018-02-25T10:00:02.377Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Write exe: 0 1738 4205732 13873 1958 37 79 0 2018-02-25T10:00:02.377Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Write exe: 0 1738 4206127 13873 1958 37 79 0 2018-02-25T10:00:02.377Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Write exe: 0 1738 4207128 13873 1958 37 79 0 2018-02-25T10:00:02.477Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Write exe: 0 1738 4208128 13873 1958 37 79 0 2018-02-25T10:00:02.677Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Write exe: 0 1738 4209128 13873 1958 37 79 0 2018-02-25T10:00:02.878Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Write wait: 617913 2207000 1277137 98210 2438 1149 1100 4912 2018-02-25T10:00:02.276Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Write wait: 618072 2207571 1277407 98210 2438 1149 1100 4912 2018-02-25T10:00:02.276Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Write wait: 618253 2208277 1277520 98210 2438 1149 1100 4912 2018-02-25T10:00:02.276Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Write wait: 618417 2208824 1277808 98210 2438 1149 1100 4912 2018-02-25T10:00:02.277Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Write wait: 618610 2209456 1277986 98210 2438 1149 1100 4912 2018-02-25T10:00:02.377Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Write wait: 618855 2210202 1278598 98210 2438 1149 1100 4912 2018-02-25T10:00:02.377Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Write wait: 618955 2210497 1278598 98210 2438 1149 1100 4912 2018-02-25T10:00:02.377Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Write wait: 619147 2211189 1278715 98210 2438 1149 1100 4912 2018-02-25T10:00:02.477Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Write wait: 619223 2211527 1279301 98210 2438 1149 1100 4912 2018-02-25T10:00:02.677Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Write wait: 619261 2211781 1280009 98210 2438 1149 1100 4912 2018-02-25T10:00:02.878Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: queue length: 0 2018-02-25T10:00:02.276Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: queue length: 0 2018-02-25T10:00:02.276Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: queue length: 0 2018-02-25T10:00:02.278Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: queue length: 0 2018-02-25T10:00:02.377Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: queue length: 0 2018-02-25T10:00:02.377Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: queue length: 0 2018-02-25T10:00:02.377Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: queue length: 0 2018-02-25T10:00:02.677Z
